pid,title,bibliographicCitation,bibliographicCitationRepublished,fullIssueSequenceNumber,creator,dateCreated,description,language,publisher,IsPartOf,rights,source,subject,type,category,articleType,volume,issue,transcription,scholarlyNotes,commentary,relatedPeople,featured,repeated,relatedImage,relatedText,relatedTextIssue,filename,caption,order,layout,collection,thumbnail,manifest,full
unionist--text-0209,"Pamphlets, Cards and Blanks",<em>The Unionist</em> 1833-12-19,,1833-12-19 p.04.55,,1833-12-19,Printing services offered at Unionist office,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Advertisements,Text,Unionist content,,1,20,"<p> <strong>PAMPHLETS, CARDS AND</strong> <em>BLANKS</em> <em>OF EVERY DESCRIPTION neatly printed at this office.</em> </p> <p> ☞ <em>An assortment of Blank Cards for sale.</em> </p> ",,"<em>The Unionist</em> was hardly a self-evident advertisement for printing services. These novice editors constantly mix fonts and sizes, and rarely produced clean copy. ",,,,unionist--image-0218,,,,,208,items_item,items,,,
unionist--text-0210,Wilberforce Prize Essay,<em>The Unionist</em> 1833-12-19,,1833-12-19 p.04.56,,1833-12-19,"Announcing the Wilberforce Essay Prize, and inviting submissions and donations",English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Abolition; Education,Text,Unionist content,,1,20,"<p align=""center""><strong>Wilberforce Prize Essay.</strong></p> <p align=""center"">A NEW AND IMPORTANT SUGGESTION.</p> <p align=""center"">CHRISTIAN SLAVERY.</p> <p align=""center"">Another Reformation in the Church must be attempted.</p> <p align=""center""> “Attempt great things—expect great things.” (The voice of the departed. [sic no close parentheses] </p> <p> IN consequence of the light poured on the public, and the church, by the spirited exertions of philanthropic individuals, a great change, in relation to intoxicating liquors, has been produced. The eye, heart, and hand of christian faith looks, prays, and acts for its completion. </p> <p> But another reformation is needed in the church. It must be as separate from slavery, as from intemperance. The nation groans under the burden and misery and guilt of both these sins. It is the solemn duty of the church to clear itself from both these tremendous crimes. This is not addressed to the world, for the world legalizes the traffic in rum, and in the bodies and souls of men. But it is addressed to the children of God, who, if they know and do their duty, can have no possible connection with either of these trades. If increasing light has shown that christians ought not to buy and sell ardent spirits, much more it is believed, will increasing light show that christians ought not to buy human beings. </p> <p> The Rev John Newton, even after he became pious, transported Africans in chains across the Atlantic, to be sold with their posterity into slavery. Could he have been a true christian, and have no upbraidings of conscience while so engaged? Yes. How is it possible? It was legal, and, at that time, honorable, and his mind was not enlightened.—Afterwards when it was he lamented his error. So there are in our country those who buy and sell their fellow beings, who, if their minds were enlightened, would lament and relinquish it. </p> <p> A few years ago, a man, whose whole daily earnings were required by his family, set up forty nights to run a distillery for forty dollars, which he gave to build a house of worship.—How could he think that money obtained by changing the bread of the poor, into the liquid fire of death, acceptable to God? Because his mind was in darkness. Would he do it now? No. Neither would the church now receive it. Why? Because the light of the temperance reformation has burst forth. </p> <p> Christians! who have promised supreme obedience to Him, that tasted death for every man,: and more for the rich man, who, in a superb dress, rides in a superb carriage, to a superb church, to worship in superb style, than for the poor African, who pulls cotton in the “fields of Alabama, and naked as in the hour of birth, trembles under the blasts of mid winter”—on you is this call for a reformation in the church of that God, who declares himself no respector [sic] of persons.—Why do you exclude the dealer in ardent spirits from the communion table, and invite to it the dealer in human flesh? This could not, would not be, if there had been half so much effort made to show the utter abominations of christian slavery, as there has been to show the abominations of christian drunkenness. Whatever maybe the event of slavery and intemperance in the world a sufficiency of light will show, and cause to be removed these shocking deformities of the christian church. One denomination has already raised thousands of dollars to assist their brethren in becoming free from the deep stains of this awful sin. When will other denominations be equally sincere and active to cleanse themselves from this pollution? The answer is plain. When they are as conscientious and as much enlightened. </p> <p> To have light poured on this subject as its importance demands, it is proposed to raise fifty dollars, as a premium for the best essay on this deeply interesting subject. When the church is pure, we may then expect the smiles and approbation of heaven on our now almost divided land. And oh! May none refuse their mite to reward the close application of time and talents to this most vitally important theme; for it is believed the temperance reformation commenced in this way. </p> <p> Donations will be received by the Editors of the Genius of Temperance, and the Editor of the Emancipator, 126, Nassau street. A part of the money has already been raised by a few ladies in Massachusetts. It is hoped that others, who are opposed to slavery in the church of Christ, will speedily forward enough to make it up to $50, when the sum will be given to him who shall show most conclusively to the christian church and to christian ministers, their duty to “Break every yoke.” The essays which shall be written for the prize, are to be judged, and the premium awarded, by ________ </p> <p>[N.B.—The blank will be filled, when the money is subscribed.]</p> ",Did this essay contest actually run?,"Charles Denison, editor of <em>The Emancipator</em>, and William Goodell of <em>The Genius of Temperance</em> were the two designated people to whom to send entries. Both were good friends of the cause and of the Canterbury Female Academy. John Newton was a former slave trader who had a religious conversion to Christianity, and denounced the slave trade. He is most famous as the author of the words to the song ""Amazing Grace.""",William Wilberforce; John Newton; Charles Denison (inferred); William Goodell (inferred),,yes,unionist--image-0231,,,,,209,items_item,items,,,
unionist--text-0022,Before You Give Way to Anger,<em>The Unionist</em> 1833-08-08,,1833-08-08 p01.08,,1833-08-08,Miscellaneous Filler,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Miscellaneous Filler,Text,Unionist content,,1,2,"Before you give way to anger, try to find a reason for not being angry.",,This brief anecdote aludes to the peace principles that were gaining credence among the Immediate Abolitionists.,,,,unionist--image-0284,,,,,21,items_item,items,,,
unionist--text-0211,Probate Notice,<em>The Unionist</em> 1833-12-19,,1833-12-19 p.04.57,,1833-12-19,Probate notice for John Gordon,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Legal Notices,Text,Unionist content,,1,20,"<p> AT a Court of Probate holden at Plainfield within and for the District of Plainfield, on the 1 <sup>st</sup> day of October A.D. 1833, Present, JOSEPH EATON ESQ., Judge. </p> <p> Then Mr. Daniel Gordon, Administrator on the estate of Mr. John Gordon late of Plainfield within said district, deceased, having represented said estate insolvent, and given notice all concerned, to appear before this Court the present day, at 9 o’clock, A.M. to be heard relative to the appointment of Commissioners, and no one appearing, This Court doth appoint Messrs. Daniel Wheeler and William Dyer of said Plainfield, Commissioners, to examine and adjust the claims of the creditors of said estate; and also doth decree, that six months be allowed them to exhibit their claims to said Commissioners, after they shall have given public notice of this order by advertising the same in a news-paper published in Brooklyn and by posting a copy thereof on a public sign post in said town of Plainfield. </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Certified from Record. </p> <p>&nbsp;&nbsp; Attest, JOHN F. GORDON, Clerk.</p> ",,,Joseph Eaton (Probate Judge); Daniel Gordon (probate); John Gordon (probate); Daniel Wheeler (probate); William Dyer (probate); John F. Gordon (probate clerk),,,unionist--image-0173,,,,,210,items_item,items,,,
unionist--text-0212,Notice,<em>The Unionist</em> 1833-12-19,,1833-12-19 p.04.58,,1833-12-19,David Clark needs his customers to pay their bills,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Miscellaneous Filler,Text,Unionist content,,1,20,"<p>NOTICE,</p> <p> THE subscriber tenders his sincere thanks to his customers for past favors, and solicits a continuance of them. But as many are deficient in the most important item, this is therefore to invite all who are indebted to him, whose accounts are more than six months standing, to call and settle the same without delay.</p> <p>DAVID CLARK. </p> <p> Brooklyn Oct. 30<sup>th</sup>,1833 </p> <p>14</p> ",,Bad credit seems to be a problem plaguing merchants across eras.,David Clark,,,unionist--image-0229,,,,,211,items_item,items,,,
unionist--text-0213,Probate Notice,<em>The Unionist</em> 1833-12-19,,1833-12-19 p.04.59,,1833-12-19,"Philip Pearl, Jr., one of the elected officials who helped pass the Black Law, petitions to sell some land held by his ward, Harriet Utley. The court grants this permission",English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Legal Notices,Text,Unionist content,,1,20,"<p> AT a Court of Probate holden at Windham within and for the district of Windham, on the 11 <sup>th</sup> day of November A.D. 1833. </p> <p>Present, C.F. CLEVELAND, Esq. Judge [sic re. spelling of Cleveland]</p> <p> Upon the petition of Philip Pearl, Jr. of Hampton, in the county of Windham, shewing to this court that he is Guardian of Harriet A. Utley, of Hampton, within said district, minor; that said minor is the owner of real estate situated in said Hampton, viz.—about thirty acres of land, being that part of the farm of her father, Capt. Thomas Utley, late of said Hampton deceased, which was set to said minor, in the distribution of said estate, valued at about five hundred dollars—that it would be for the interest of said minor that said land should be sold and the avails thereof put on interest or applied for her education and advancement in life, praying for liberty to sell said property, for the purposes aforesaid, as per petition on file. </p> <p> <em>It is ordered by this Court,</em> That said Guardian give notice of said application, by causing the same to be published in one of the newspapers printed in Brooklyn, in the county of Windham, three weeks successively, at least six weeks before the hearing; and that said petition will be heard at the Probate Office in said district on the first 2d Monday of February next, at 9 o’clock A.M. </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Certified from Record, </p> <p> 17&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; THOMAS GRAY, Clerk. </p> ",,"Philip Pearl Jr. has a checkered history in the saga of the Canterbury Female Academy. His daughter Hannah attended the first version of the Academy, before the change to Black students. Philip Pearl Jr. was an elected legislator who helped to draft the law in 1833, and lobbied it through the Assembly. He was perceived as Andrew Judson's most important ally in Connecticut state politics. However, he was converted to anti-slavery by Theodore Dwight Weld, and in 1837 led the effort to repeal the Black Law! On the petition from his town of Hampton, he signed the petition at the top in bold pen. Petitions re: Repeal of Act Prohibiting Education of Colored Persons RG002, Box 26 General Assembly Papers 1837-1838, folder #16, document 14.",Philip Pearl Jr.; Chauncey F. Clevealand; Harriet A. Utley; Thomas Utley; Thomas Gray,,,unionist--image-0245,,,,,212,items_item,items,,,
unionist--text-0214,Probate Notice,<em>The Unionist</em> 1833-12-19,,1833-12-19 p.04.60,,1833-12-19,Probate notice for Jesse Lewis,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Legal Notices,Text,Unionist content,,1,20,"<p> THE subscribers having been appointed by the Hon. Superior Court holden at Brooklyn within and for the County of Windham on the 1 <sup>st</sup> Tuesday of October, 1833. Commissioners on the Estate of Jesse Lewis of Sterling in said County, adjudged by said Court to be an “Insolvent Debtor,” hereby give notice, that we will meet on the business of our said appointment at the dwelling house of John C. Ames in said Sterling on the first Monday of December 1833, on the 1 <sup>st</sup> Monday of February 1834, and on the 1 <sup>st</sup> Thursday of May 1834, at 2 p’clock in the afternoon on each of said days. </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; JOHN C. AMES,&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Commissioners </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; WILLIAM PIKE &nbsp; under oath, </p> <p> Sterling, 24 <sup>th</sup> October, 1833. </p> ",,,Jesse Lewis (probate case); John C. Ames (probate); William Pike (probate),,,unionist--image-0245,,,,,213,items_item,items,,,
unionist--text-0215,Probate Notice,<em>The Unionist</em> 1833-12-19,,1833-12-19 p.04.61,,1833-12-19,Probate notice Luther Wells Lyon,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Legal Notices,Text,Unionist content,,1,20,"<p> THE subscribers having been appointed by the Hon. Court of Probate for the district of Woodstock, Commissioners on the estate of Luther Wells Lyon; an insolvent debtor, of said Woodstock, hereby give notice that we will meet at the house of George Bowen of said Woodstock, on the 2 <sup>nd</sup> Mondays of November and April next, at 9 o’clock A. M. on each of said days, to receive examine and adjust the claims of creditors against s’d estate. Six months from the first publication of this order, are limited by said Court of Probate, for the creditors of said estate, to present their claims, or be debarred a recovery according to law. </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; EZRA CHILD,&nbsp;&nbsp;&nbsp; Commis- </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; WM. PRICE . &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; sioners. </p> <p> Woodstock Oct. 7, 1833&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 12 </p> <p></p> ",,,Luther Wells Lyon (probate case); George Bowen (probate case); Ezra Child (probate case); William Price (probate case),,,unionist--image-0245,,,,,214,items_item,items,,,
unionist--text-0216,Probate Notice,<em>The Unionist</em> 1833-12-19,,1833-12-19 p.04.62,,1833-12-19,Probate notice for young children whose father died,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Legal Notices,Text,Unionist content,,1,20,"<p> AT a Court of Probate holden at Thompson, within &amp; for the district of Thompson, on the 28 <sup>th</sup> day of Sept. 1833. </p> <p>Present, JOHN NICHOLS, Esq. Judge.</p> <p> Upon the Petition of Mahala Stone and Isaac Mason, showing to this Court that the said Mahala Stone is Guardian to Hiram Mason, and Ann Mariah Mason, and that the said Isaac Mason is Guardian to Zerviah Mason, all minors of said town of Thompson, and children of Isaac Mason, late of said Thompson, deceased; that said minors are the owners of certain real estate situated in the easterly part of said Thompson, valued at about one hundred dollars; that said estate cannot be improved to advantage, and is unproductive to said minors; praying for liberty to sell the same, and place the avails therefore at interest on good security, as by said petition on file. </p> <p> Ordered by this Court that said petition be heard at the Probate office in said district on the 10 <sup>th</sup> day of February, at 10 o’clock A.M. and that notice be given of the pendency of said petition, by publishing this order in the Windham County Advertiser three weeks successively, at least six weeks before said 10 <sup>th</sup> day of February 1833. </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Certified from Record, </p> <p> 19&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; JOHN NICHOLS, Judge. </p> <p></p> ","I repaired an odd break in the typesetting of this article, for ease of reading, where it breaks off before the end, and is then completed beneath the following article",,John Nichols (probate judge); Mahala Stone (probate case); Isaac Mason (probate case); Hiram Mason (probate case); Ann Mariah Mason (probate case); Zerviah Mason (probate case),,,unionist--image-0245,,,,,215,items_item,items,,,
unionist--text-0217,Probate Notice,<em>The Unionist</em> 1833-12-19,,1833-12-19 p.04.63,,1833-12-19,"Philip Pearl, Jr., one of the elected officials who helped pass the Black Law, petitions to sell some land held by his ward, Henry T. Utley. The court grants this permission",English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Legal Notices,Text,Unionist content,,1,20,"<p> AT a Court of Probate holden at Windham, within and for the district of Windham, on the 11 <sup>th</sup> day of November A.D. 1833, </p> <p>Present, C.F. CLEVELAND, Esq., Judge. [sic spelling of Cleveland]</p> <p> Upon the petition of Philip Pearl, Jr. of Hampton, in the county of Windham, shewing to this court that he is Guardian of Henry T. Utley, of Hampton within said district, minor; that said minor is the owner of real estate situated in said Hampton, viz.—about twenty acres of land with part of a dwelling house; being that part of the farm of his father, Tho’s. Utley, late of said Hampton, deceased, which was set to said minor in the distribution of said estate, valued at about six hundred dollars.—that it would be for the interest of said minor that said real estate should be sold and the avails thereof put on interest or applied for his education and advancement in life—praying for liberty to sell said property for the purposes aforesaid, as per petition on file. </p> <p> It is ordered by this Court, That said Guardian give notice of said application, by causing the same to be published in one of the newspapers printed in Brooklyn in the county of Windham three weeks successively, at least six weeks before the hearing; and that said petition will be heard at the Probate Office in said district on the 2d Monday of February next, at nine o’clock A.M. </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Certified from Record, </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; THOS. GRAY, Clerk. </p> ",,,Philip Pearl Jr.; Chauncey F. Clevealand; Henry Utley; Thomas Utley; Thomas Gray,,,unionist--image-0245,,,,,216,items_item,items,,,
unionist--text-0218,Probate Notice,<em>The Unionist</em> 1833-12-19,,1833-12-19 p.04.64,,1833-12-19,Probate notice for estate of Mrs. Ruth Greene,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Legal Notices,Text,Unionist content,,1,20,It is interesting that the <em>Norwich Courier</em> published <em>The Unionist</em> account of the fire at the academy in January 1834.,,William Fenner was connected to a family opposed to the Canterbury Female Academy,Ruth Greene; William Fenner; Thomas Douglass,,,unionist--image-0245,,,,,217,items_item,items,,,
unionist--text-0219,Advertisement for Lydia Maria Child's <em>Appeal</em>,<em>The Unionist</em> 1833-12-19,,1833-12-19 p.04.65,,1833-12-19,"FOR SALE, At this office, a few copies of Mrs. Child’s “Appeal in behalf of that class of Americans called Africans ",English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Advertisement - with Abolition Theme,Text,Unionist content,,1,20,"<p align=""center"">FOR SALE,</p> <p> AT THIS OFFICE, A FEW copies of Mrs. Child’s “Appeal in behalf of that class of Americans called Africans”. </p> ",,"Repeated from earlier in the issue. While this might have been due to a printing exigency to fill the column, the choice to emphasize this significant publication is still meaningful.",Lydia Maria Child,,Yes,unionist--image-0111,,,,,218,items_item,items,,,
unionist--text-0220,Probate Notice,<em>The Unionist</em> 1833-12-19,,1833-12-19 p.04.66,,1833-12-19,Probate notice for estate of Thomas Barrows,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Legal Notices,Text,Unionist content,,1,20,"<p> At a Court of Probate holden at Killingly within and for the District of Killingly on the 5th day of October, A.D. 1833. </p> <p align=""center"">Present Thomas Backus, Judge.</p> <p> The Court doth direct the Administrator of the estate of Thomas Barrows late of said Killingly deceased, represented insolvent, to give notice to all persons interested in the same to appear (if they shall see cause) before a Court of Probate to be holden at the Probate office in said district on the first Monday of November A.D. 1833 at 10 o’clock A.M. to be heard relative to the appointment of Commissioners on said estate, by posting said order of notice on a public sign post in said town of Killingly, and by advertising the same in a newspaper rpublished in Brooklyn in the County of Windham at least 20 days before said first Monday of November . &nbsp;&nbsp; THOMAS BACKUS. </p> <p></p> ",Running this notice long after the dates listed had passed - why?,,Thomas Backus (probate judge); Thomas Barrows (probate case),,,unionist--image-0245,,,,,219,items_item,items,,,
unionist--text-0023,"""The Advertiser has taken us to task""",<em>The Unionist</em> 1833-08-08,,1833-08-08 p02.09,Charles C. Burleigh,1833-08-08,Debate with Windham Advertiser,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Journalistic Debate,Text,Unionist content,,1,2,"<p align=""center"">THE UNIONIST.</p> <p align=""center"">BROOKLYN, AUGUST 8, 1833.</p> <p>The Advertiser has taken us to task quite severely, for what, with his moral accuracy, he calls our “false pretences” or “gross inconsistency.” The irresistible reasoning, by which he arrives at a conclusion so unfavorable to us, deserves a passing notice. After quoting from our prospectus, a sentence showing our disapprobation of the dominant party in our last Legislature, he goes on with the confident air of a man who thinks he cannot be mistaken, “what is this but an acknowledged preference for, and a devotion to a political party?” How conclusive! Because we disapprove one political party, we must necessarily—not merely approve, but be <em>devoted</em> to another. Because we have expressed a hope that one party will not reign long, “it follows” that we shall endeavor to transfer the rule to another. Admirable logic!</p> <p>To the Advertiser’s assertion that the paper originated in party feeling and from unworthy motives, we answer, (first asking by the way, who probably knows our motives best, we or the Advertiser,) that it matters little to what motives the establishment of the Unionist is attributable, so long as its <em>course</em> is fair, upright and consistent with its professions. If the Advertiser will pursue such a course, we will promise to say nothing about the motives which induced its change from the “bitter hostility to President Jackson and his friends” which it manifested “for nearly five years,” to a course and character diametrically opposite. We will not even hint that the <em>disinterested</em> Advertiser which resolves to “continue firm and unflinching in the pursuance of its duty, so long as it has one reader left,” was <em>bought up</em> by the Jackson party.</p> <p>But it is said that we are not consistent with our professions. We will not take it upon us to say whether, in making this charge, the Advertiser man has exposed his incapacity to comprehend the plain import of language, or has shown a disposition, wilfully to pervert the truth. One of the two is evident. That we do not possess experience “in getting up independent papers,” headed with professions at variance with our intended practice, or in any other species of deception, which would enable us to impose upon the public and yet escape suspicion, we freely confess; nor is it our desire at present to avail ourselves of the superior experience in such matters of any of our editorial brethren. When we engage in an enterprise which requires that kind of experience, we shall doubtless call in the assistance of such of our acquaintance as are best versed in the mystery of making promises to be “revoked.” But that we are incompetent to the easy task of telling the truth, (for we consider it easy, whatever the Advertiser may think of it,) in plain, intelligible language, we are unwilling yet to admit. We refer any candid man, to our prospectus, and the leading article of our first number, for evidence that we have spoken intelligibly; and to the whole of that sheet, and of this also, for proof that, so far as we can be judged by our acts, what we said was <em>truth</em> that we have been consistent with our professions. We ask our readers to compare with the evidence thus collected, the leading article and several other pieces in the last Advertiser, and say if that paper has not misrepresented us. We have never represented ourselves as indifferent or neutral on the questions moral or political, at present agitating the community, nor are we so. We have opinions which we shall defend to the extent of our poor ability, for their defence this paper was established. In our leading article last week, we alluded to the fact that “the majority had no organ of communication,” as one reason why some gentlemen opposed in sentiment to the Advertiser, had put in operation this press, one object of which would be, to counteract the effect of the Advertiser’s unfair course. Now does not this show clearly, that in charging us as guilty of inconsistency because we oppose the measures he advocates, the Advertiser editor brings against us a groundless accusation.</p> <p>But it will perhaps be said, we are pledged to no party. And so we are. Can the Advertiser see no difference between opposing his party and supporting another? Cannot this paper be made the organ of the majority, and yet be the exclusive organ of no party? If he will lay his finger on the passage in our paper in which we advocate any party as such, or in any way depart from our expressed design of canvassing the claims of men and the propriety of measures on their own merits, then will we acknowledge our offence, and humbly ask forgiveness and promise amendment, nor will we “revoke our promise” before the week’s end, even should he tell his readers we have made it.</p> <p>While we thus openly declare that we are not indifferent on the subjects which have been noticed in our paper, we still adhere to our avowal, that we shall discuss them and give our opinions upon them, without reference to the circumstances that this or that party holds sentiments similar to, or differing from ours, we shall also admit properly written communications against, as well as in favor of our views. If this will not constitute our paper as independent one, we acknowledge our ignorance of the meaning of the term.</p> <p>When the Advertiser detects us departing from this course, he may then complain of us, as we have done of him, for being one sided, and may call ours a “counterfeit independent paper.” And when we perceive him pursuing a course like this, we will acknowledge his right to the praise of <em>genuine</em> independence. But till then we shall consider ourselves justified in adhering to our original assertion, that the <em>want of fairness and independence </em>in the Advertiser, led to the establishment at this time, of another paper.</p>",,"There would be much in the way of partisan posturing between Charles C. Burleigh and the editors of the local newspapers that opposed the Canterbury Female Academy. He is forthright here, and reinforces that The Unionist is not ""indifferent or neutral on the questions moral or political, at present agitating the community,"" meaning the issues around race, citizenship, women's education, and abolition raised by the Canterbury Female Academy.",,,,unionist--image-0325,,,,,22,items_item,items,,,
