pid,creator,location,label,_date,object_type,current_location,source,excerpt,order,layout,collection,thumbnail,full,manifest
obj21,Sofía Martinez and Divana Olivas,Santa Fe New Mexican,Celebrating an activist Betita Martinez,6/23/21,text,Santa Fe New Mexican,https://www.santafenewmexican.com/opinion/commentary/celebrating-an-activist-betita-martinez/article_ee4cba5c-f27c-11ec-9a56-4f38af53a75c.html,"In New Mexico, Martinez shaped a generation of activists. As co-founder of El Grito del Norte, she brought her expertise in writing, editing and publishing to create a radical publication during the height of the Chicano Movement, from 1968-73. During those five years, Martinez worked closely with young activists who would later go on to become leaders and experts in their own right. ",20,martinez_item,martinez,"","",""
obj22,Margo Okazawa-Rey,Convergence,Betita: Embracing Complexity and Contradiction,7/12/21,text,Convergence,https://convergencemag.com/articles/betitataughtus-chicanisma-and-el-movimiento/,"One of the most important lessons I learned from Betita is to name, understand, and embrace complexity and contradictions. ",21,martinez_item,martinez,"","",""
obj23,Adelita Michelle Medina,Convergence,Betita Carved Out a Special Place in Northern New Mexico,7/12/21,text,Convergence,https://convergencemag.com/articles/betitataughtus-chicanisma-and-el-movimiento/,"No matter what city or town or part of the country Betita lived in, she made special contributions and created life-long memories. One of her greatest assets was her ability to inspire and mentor young people. Here in New Mexico she passed on her knowledge and skills to scores of <em>jovenes</em> in the Movimiento Chicano.",22,martinez_item,martinez,"","",""
obj24,Tony Platt,La Voz de Esperanza,The Work Said Who I Was”: Elizabeth “Betita” Sutherland Martínez (1925-2021),2021,text,La Voz de Esperanza,https://thisbridgecalledcyberspace.net/FILES/5108.pdf,"She was the toughest leftist I’ve ever known, never without a sheaf of leafets, but she was also delighted by how the Beatles in A Hard Day’s Night celebrated the “sweet parade” of life – “parading the streets, trailing their coats, bowling along and living!”",23,martinez_item,martinez,"","",""
obj25,Chris Crass,Anarres Project for Alternative Futures,Honoring the Passing of Elizabeth Betita Martinez (2021),7/2/21,text,Anarres Project for Alternative Futures,http://www.anarresproject.org/honoring-the-passing-of-elizabeth-betita-martinez-2021/,"Her vast experience organizing, her movement journalism, her bringing people together to build movement together, all of this was so incredible. And it was also her deep belief in young people and encouragement to experiment and grow.",24,martinez_item,martinez,"","",""
obj26,Annika Hom,Mission Local,"“The heart insists on it.” Odes to Betita Martínez, the Chicana pioneer dedicated to political activism",7/13/21,text,Mission Local,https://missionlocal.org/2021/07/the-heart-insists-on-it-odes-to-betita-martinez-the-chicana-pioneer-dedicated-to-political-activism/,"Martínez made a splash wherever she landed, whether at the helm of <em>El Grito del Norte</em> in Española, New Mexico, or during creative stints in New York and San Francisco, or in her political work that sent her far and wide. ",25,martinez_item,martinez,"","",""
obj27,,,,,,,,,26,martinez_item,martinez,"","",""
obj28,,,,,,,,,27,martinez_item,martinez,"","",""
obj29,,,,,,,,,28,martinez_item,martinez,"","",""
obj30,,,,,,,,,29,martinez_item,martinez,"","",""
obj31,,,,,,,,,30,martinez_item,martinez,"","",""
